Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
3033993,/m/08m1s2,Becoming Jane,2007-03-02,37311672.0,112.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/04xvh5"": ""Costume drama"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/03bxz7"": ""Biographical film""}",Ireland,Europe
3033993,/m/08m1s2,Becoming Jane,2007-03-02,37311672.0,112.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/04xvh5"": ""Costume drama"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/03bxz7"": ""Biographical film""}",United Kingdom,Europe
1588008,/m/05dpjl,Heidi Fleiss: Hollywood Madam,1995-12-27,,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/03mqtr"": ""Political drama"", ""/m/01z4y"": ""Comedy""}",Canada,Europe
1588008,/m/05dpjl,Heidi Fleiss: Hollywood Madam,1995-12-27,,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/03mqtr"": ""Political drama"", ""/m/01z4y"": ""Comedy""}",United Kingdom,Europe
1588008,/m/05dpjl,Heidi Fleiss: Hollywood Madam,1995-12-27,,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/03mqtr"": ""Political drama"", ""/m/01z4y"": ""Comedy""}",Germany,Europe
32417200,/m/0gyvxfl,André and Ursula,1955-09-08,,80.0,"{""/m/04306rv"": ""German Language""}","{""/m/07s9rl0"": ""Drama""}",West Germany,Europe
103021,/m/0p_sc,Midnight Express,1978-08-31,35000000.0,121.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/0219x_"": ""Indie"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0hj3n1c"": ""Escape Film"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/07s9rl0"": ""Drama"", ""/m/03bxz7"": ""Biographical film"", ""/m/0d1w9"": ""Prison"", ""/m/03k9fj"": ""Adventure""}",United Kingdom,Europe
24011583,/m/07k7p1q,In the Name of the Fatherland,1943-07-20,,,{},"{""/m/07s9rl0"": ""Drama""}",Soviet Union,Europe
362719,/m/01_mdl,Superman,1978-12-10,300218018.0,151.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",United Kingdom,Europe
21271533,/m/05f9k7r,Bleeder,1999-08-06,,98.0,"{""/m/0295r"": ""Danish Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama""}",Denmark,Europe
